No.,bedroom_num,total_bedroom_area(m2),study_area(m2),indoor_garden_area(m2),kitchen_area(m2),bathroom_area(m2),balcony_area(m2),floorplan_total_are(m2)
185,2,31.27 ,0.00 ,0.00 ,4.14 ,4.74 ,7.57 ,97.05 
186,2,35.32 ,0.00 ,0.00 ,7.43 ,4.45 ,8.36 ,105.23 
187,3,34.70 ,0.00 ,0.00 ,5.28 ,9.33 ,7.51 ,98.20 
188,3,43.11 ,0.00 ,0.00 ,6.64 ,8.85 ,7.82 ,108.04 
189,3,26.55 ,9.16 ,0.00 ,5.76 ,9.77 ,7.78 ,104.24 
190,3,41.22 ,0.00 ,0.00 ,4.94 ,9.06 ,10.35 ,115.15 
191,3,33.95 ,0.00 ,0.00 ,5.92 ,8.24 ,12.04 ,121.53 
192,3,36.71 ,0.00 ,0.00 ,6.85 ,7.00 ,8.04 ,114.30 
193,2,10.72 ,9.47 ,0.00 ,7.08 ,3.90 ,0.00 ,53.66 
194,2,16.12 ,0.00 ,0.00 ,5.24 ,5.84 ,2.85 ,53.52 
195,2,17.04 ,0.00 ,0.00 ,3.93 ,4.54 ,2.60 ,57.40 
196,2,17.20 ,0.00 ,0.00 ,5.45 ,6.77 ,3.72 ,69.99 
197,2,24.42 ,0.00 ,0.00 ,5.72 ,2.90 ,5.62 ,75.74 
198,2,18.59 ,0.00 ,0.00 ,4.24 ,1.50 ,6.59 ,64.64 
199,2,30.34 ,0.00 ,0.00 ,6.00 ,6.97 ,7.60 ,87.91 
200,3,34.52 ,0.00 ,0.00 ,8.37 ,2.79 ,3.70 ,87.13 
201,3,26.66 ,0.00 ,0.00 ,6.68 ,4.81 ,7.02 ,88.12 
202,3,35.43 ,0.00 ,0.00 ,5.95 ,5.68 ,4.72 ,93.54 
203,2,14.05 ,0.00 ,0.00 ,3.89 ,2.85 ,5.47 ,53.28 
204,3,27.48 ,0.00 ,0.00 ,5.95 ,3.92 ,6.41 ,83.36 
205,3,33.62 ,0.00 ,0.00 ,5.95 ,8.97 ,10.74 ,106.66 
206,3,35.55 ,0.00 ,0.00 ,5.84 ,6.50 ,5.76 ,101.71 
207,3,31.29 ,0.00 ,0.00 ,5.34 ,3.55 ,7.32 ,86.53 
208,2,11.33 ,4.77 ,0.00 ,5.30 ,6.92 ,2.82 ,51.69 
209,2,24.44 ,0.00 ,0.00 ,5.39 ,3.88 ,5.91 ,71.58 
210,2,21.60 ,0.00 ,0.00 ,6.34 ,2.39 ,6.48 ,68.03 
211,2,17.64 ,0.00 ,0.00 ,8.09 ,3.20 ,5.28 ,69.81 
212,2,18.47 ,0.00 ,0.00 ,7.14 ,4.14 ,5.27 ,68.16 
213,3,14.49 ,3.14 ,0.00 ,3.25 ,3.45 ,4.06 ,53.95 
214,3,32.49 ,0.00 ,0.00 ,5.39 ,3.78 ,3.49 ,85.01 
215,3,29.33 ,0.00 ,0.00 ,7.13 ,4.44 ,6.35 ,81.38 
216,3,39.34 ,0.00 ,0.00 ,6.85 ,5.77 ,10.03 ,109.28 
217,3,28.60 ,11.10 ,0.00 ,6.70 ,4.47 ,11.41 ,110.27 
218,3,30.13 ,9.97 ,0.00 ,6.09 ,3.30 ,12.87 ,101.77 
219,3,34.34 ,11.12 ,0.00 ,7.42 ,4.25 ,5.07 ,103.30 
220,3,31.58 ,10.18 ,0.00 ,7.02 ,4.06 ,4.96 ,96.81 
221,2,43.20 ,0.00 ,0.00 ,11.98 ,8.79 ,12.33 ,131.39 
222,2,22.94 ,0.00 ,0.00 ,6.24 ,3.81 ,10.10 ,74.86 
223,2,34.08 ,0.00 ,0.00 ,6.60 ,4.57 ,5.85 ,94.71 
224,2,33.92 ,0.00 ,0.00 ,6.92 ,4.07 ,4.97 ,93.02 
225,3,39.17 ,0.00 ,0.00 ,6.75 ,8.70 ,15.02 ,122.54 
226,3,46.61 ,0.00 ,0.00 ,5.57 ,8.95 ,14.58 ,138.08 
227,3,46.37 ,0.00 ,0.00 ,5.57 ,8.95 ,20.29 ,145.33 
228,2,22.67 ,0.00 ,0.00 ,3.40 ,4.36 ,3.85 ,76.85 
229,3,24.87 ,8.26 ,0.00 ,4.76 ,2.64 ,3.93 ,83.78 
230,2,32.04 ,0.00 ,0.00 ,5.39 ,5.71 ,5.42 ,96.44 
231,3,37.83 ,0.00 ,0.00 ,5.32 ,3.38 ,9.68 ,101.50 
232,4,46.84 ,0.00 ,0.00 ,5.80 ,7.51 ,11.85 ,118.14 
233,4,45.64 ,0.00 ,0.00 ,5.55 ,6.65 ,7.17 ,112.69 
234,2,24.62 ,0.00 ,0.00 ,6.12 ,3.82 ,5.68 ,72.05 
235,2,20.85 ,0.00 ,0.00 ,3.99 ,3.49 ,3.96 ,69.52 
236,2,21.04 ,0.00 ,0.00 ,6.89 ,3.89 ,7.25 ,75.91 
237,3,33.41 ,0.00 ,0.00 ,6.02 ,6.05 ,3.94 ,82.78 
238,3,35.74 ,0.00 ,0.00 ,4.99 ,5.80 ,4.89 ,81.88 
239,3,29.14 ,0.00 ,0.00 ,4.74 ,9.36 ,9.21 ,87.28 
240,3,26.31 ,0.00 ,0.00 ,6.47 ,7.57 ,7.19 ,86.15 
241,3,34.06 ,0.00 ,0.00 ,5.16 ,5.87 ,4.54 ,84.36 
242,2,28.69 ,0.00 ,0.00 ,11.39 ,5.76 ,3.55 ,95.10 
243,3,27.16 ,0.00 ,0.00 ,4.98 ,2.95 ,1.87 ,64.61 
244,3,26.25 ,0.00 ,0.00 ,5.75 ,6.42 ,3.57 ,72.06 
245,4,42.89 ,0.00 ,0.00 ,5.66 ,8.33 ,8.44 ,107.37 
246,2,30.39 ,0.00 ,0.00 ,9.04 ,5.66 ,22.45 ,118.02 
247,2,26.28 ,0.00 ,0.00 ,6.79 ,9.10 ,14.59 ,111.55 
248,2,22.21 ,0.00 ,0.00 ,4.90 ,3.13 ,8.60 ,75.74 
249,3,30.52 ,0.00 ,0.00 ,5.99 ,4.97 ,10.70 ,95.65 
250,2,20.37 ,0.00 ,0.00 ,6.45 ,4.69 ,4.62 ,70.30 
251,2,17.66 ,0.00 ,0.00 ,5.55 ,3.00 ,8.34 ,70.33 
252,2,23.48 ,0.00 ,0.00 ,6.73 ,4.22 ,5.36 ,75.16 
253,2,25.21 ,0.00 ,0.00 ,5.89 ,3.16 ,4.70 ,78.65 
254,3,28.42 ,0.00 ,0.00 ,5.58 ,3.50 ,5.34 ,92.18 
255,3,30.10 ,0.00 ,0.00 ,5.58 ,3.00 ,5.99 ,87.67 
256,3,30.72 ,0.00 ,0.00 ,5.50 ,3.31 ,7.65 ,89.21 
257,3,28.22 ,0.00 ,0.00 ,5.09 ,5.37 ,8.69 ,89.04 
258,3,25.31 ,7.11 ,0.00 ,0.00 ,12.87 ,8.45 ,100.10 
259,4,35.26 ,8.41 ,0.00 ,5.92 ,9.99 ,13.73 ,122.51 
260,3,31.30 ,0.00 ,0.00 ,4.50 ,4.45 ,5.86 ,96.87 
261,3,20.26 ,0.00 ,0.00 ,3.26 ,2.79 ,3.48 ,54.56 
262,3,41.87 ,0.00 ,0.00 ,6.01 ,9.12 ,8.26 ,109.79 
263,4,47.62 ,0.00 ,0.00 ,6.56 ,9.08 ,9.44 ,119.30 
264,3,25.88 ,0.00 ,0.00 ,7.10 ,3.23 ,7.62 ,82.87 
265,2,24.45 ,0.00 ,0.00 ,6.06 ,3.07 ,9.95 ,85.11 
266,2,24.06 ,0.00 ,5.82 ,5.90 ,3.71 ,5.52 ,81.43 
267,2,24.10 ,0.00 ,0.00 ,5.51 ,4.35 ,7.36 ,76.04 
268,2,22.82 ,0.00 ,0.00 ,5.54 ,2.87 ,4.07 ,66.88 
269,2,18.50 ,0.00 ,0.00 ,5.47 ,4.42 ,3.92 ,58.79 
270,2,18.63 ,0.00 ,0.00 ,7.68 ,3.37 ,4.48 ,67.18 
271,3,29.41 ,0.00 ,0.00 ,5.38 ,3.41 ,13.43 ,89.22 
272,2,20.47 ,0.00 ,0.00 ,5.89 ,3.26 ,4.83 ,59.65 
273,2,22.98 ,0.00 ,0.00 ,4.92 ,5.04 ,4.89 ,62.43 
274,2,18.88 ,0.00 ,0.00 ,4.49 ,3.81 ,4.77 ,58.69 
275,3,28.39 ,7.64 ,0.00 ,5.38 ,8.29 ,10.12 ,111.66 
276,2,19.47 ,0.00 ,0.00 ,3.88 ,3.54 ,8.10 ,66.95 
277,3,30.80 ,0.00 ,0.00 ,5.25 ,9.29 ,10.85 ,87.74 
278,2,14.94 ,0.00 ,0.00 ,7.07 ,2.44 ,3.62 ,57.13 
279,3,34.69 ,0.00 ,0.00 ,8.40 ,7.29 ,5.41 ,92.10 
280,3,29.64 ,0.00 ,0.00 ,6.29 ,6.76 ,4.59 ,92.07 
281,2,13.30 ,0.00 ,0.00 ,3.89 ,1.49 ,3.10 ,38.02 
282,3,38.95 ,0.00 ,0.00 ,5.77 ,7.65 ,12.42 ,109.93 
283,2,26.96 ,0.00 ,0.00 ,7.24 ,8.40 ,10.48 ,98.79 
284,2,23.69 ,0.00 ,0.00 ,2.62 ,5.32 ,9.37 ,73.73 
285,2,22.62 ,0.00 ,0.00 ,5.63 ,4.78 ,6.76 ,75.52 
286,2,21.21 ,0.00 ,0.00 ,5.54 ,4.89 ,11.41 ,83.85 
287,3,39.26 ,0.00 ,0.00 ,6.20 ,6.79 ,8.04 ,101.03 
288,2,25.07 ,0.00 ,0.00 ,5.10 ,10.13 ,4.88 ,89.50 
289,3,24.10 ,7.84 ,0.00 ,7.61 ,8.12 ,10.38 ,97.31 
290,2,29.14 ,6.00 ,0.00 ,7.16 ,8.49 ,4.74 ,96.39 
291,4,55.01 ,0.00 ,0.00 ,5.35 ,6.97 ,9.68 ,122.65 
292,2,47.74 ,0.00 ,0.00 ,7.42 ,7.19 ,12.06 ,119.26 
293,4,44.18 ,5.42 ,0.00 ,8.02 ,10.78 ,3.53 ,123.17 
294,3,28.18 ,0.00 ,0.00 ,5.59 ,2.42 ,5.24 ,80.76 
295,2,26.53 ,0.00 ,0.00 ,5.74 ,8.23 ,8.17 ,90.09 
296,2,28.33 ,4.63 ,0.00 ,4.89 ,8.41 ,2.42 ,80.54 
297,3,34.96 ,0.00 ,0.00 ,5.60 ,7.08 ,5.78 ,92.70 
298,3,31.27 ,0.00 ,0.00 ,5.18 ,5.69 ,3.80 ,88.25 
299,3,33.35 ,0.00 ,0.00 ,4.77 ,8.23 ,4.61 ,89.77 
300,3,34.37 ,0.00 ,0.00 ,5.67 ,5.48 ,7.60 ,87.10 
